Deskripsi,Nominal,Verifikasi
Pembayaran SHF,200,SHF
Pembayaran S    H F,200,SHF
Pembyaran S                                    H                        F,200,SHF
abcabcabc,200,SHF
settlement cabang jabotabek,250,BUF/BUP
setlement,300,BUF/BUP
setlement,500,BUF/BUP
setelment,1000000,BUF/BUP
fiducia,2000000,fidusia
fiducia,2001000,fidusia
abca fidusia abcaba,2000000,fidusia
abcabafidusia,2100000,fidusia
pinalti,1000000,pinalty
pinalty,2500000,pinalty
pi nal ty,3000000,pinalty
pi nal ty,3000000,pinalty
umk 3,1000000,umk3
umk 3,2000000,umk3
u     !@#     m    !@#       k  3,3000000,umk3
abc umk 3 abca,3000000,umk3
Pembayaran SHF,200,SHF
Pembayaran S    H F,200,SHF
Pembyaran S                                    H                        F,200,SHF
abcabcabc,200,SHF
settlement cabang jabotabek,250,BUF/BUP
setlement,300,BUF/BUP
setlement,500,BUF/BUP
setelment,1000000,BUF/BUP
fiducia,2000000,fidusia
fiducia,2001000,fidusia
abca fidusia abcaba,2000000,fidusia
abcabafidusia,2100000,fidusia
pinalti,1000000,pinalty
pinalty,2500000,pinalty
pi nal ty,3000000,pinalty
pi nal ty,3000000,pinalty
umk 3,1000000,umk3
umk 3,2000000,umk3
u     !@#     m    !@#       k  3,3000000,umk3
abc umk 3 abca,3000000,umk3
Pembayaran SHF,200,SHF
Pembayaran S    H F,200,SHF
Pembyaran S                                    H                        F,200,SHF
abcabcabc,200,SHF
settlement cabang jabotabek,250,BUF/BUP
setlement,300,BUF/BUP
setlement,500,BUF/BUP
setelment,1000000,BUF/BUP
fiducia,2000000,fidusia
fiducia,2001000,fidusia
abca fidusia abcaba,2000000,fidusia
abcabafidusia,2100000,fidusia
pinalti,1000000,pinalty
pinalty,2500000,pinalty
pi nal ty,3000000,pinalty
pi nal ty,3000000,pinalty
umk 3,1000000,umk3
umk 3,2000000,umk3
u     !@#     m    !@#       k  3,3000000,umk3
abc umk 3 abca,3000000,umk3
Pembayaran SHF,200,SHF
Pembayaran S    H F,200,SHF
Pembyaran S                                    H                        F,200,SHF
abcabcabc,200,SHF
settlement cabang jabotabek,250,BUF/BUP
setlement,300,BUF/BUP
setlement,500,BUF/BUP
setelment,1000000,BUF/BUP
fiducia,2000000,fidusia
fiducia,2001000,fidusia
abca fidusia abcaba,2000000,fidusia
abcabafidusia,2100000,fidusia
pinalti,1000000,pinalty
pinalty,2500000,pinalty
pi nal ty,3000000,pinalty
pi nal ty,3000000,pinalty
umk 3,1000000,umk3
umk 3,2000000,umk3
u     !@#     m    !@#       k  3,3000000,umk3
abc umk 3 abca,3000000,umk3
Pembayaran SHF,200,SHF
Pembayaran S    H F,200,SHF
Pembyaran S                                    H                        F,200,SHF
abcabcabc,200,SHF
settlement cabang jabotabek,250,BUF/BUP
setlement,300,BUF/BUP
setlement,500,BUF/BUP
setelment,1000000,BUF/BUP
fiducia,2000000,fidusia
fiducia,2001000,fidusia
abca fidusia abcaba,2000000,fidusia
abcabafidusia,2100000,fidusia
pinalti,1000000,pinalty
pinalty,2500000,pinalty
pi nal ty,3000000,pinalty
pi nal ty,3000000,pinalty
umk 3,1000000,umk3
umk 3,2000000,umk3
u     !@#     m    !@#       k  3,3000000,umk3
abc umk 3 abca,3000000,umk3
Pembayaran SHF,200,SHF
Pembayaran S    H F,200,SHF
Pembyaran S                                    H                        F,200,SHF
abcabcabc,200,SHF
settlement cabang jabotabek,250,BUF/BUP
setlement,300,BUF/BUP
setlement,500,BUF/BUP
setelment,1000000,BUF/BUP
fiducia,2000000,fidusia
fiducia,2001000,fidusia
abca fidusia abcaba,2000000,fidusia
abcabafidusia,2100000,fidusia
pinalti,1000000,pinalty
pinalty,2500000,pinalty
pi nal ty,3000000,pinalty
pi nal ty,3000000,pinalty
umk 3,1000000,umk3
umk 3,2000000,umk3
u     !@#     m    !@#       k  3,3000000,umk3
abc umk 3 abca,3000000,umk3
